,Restaurant,City,Area,Address,Food type,Price,Avg ratings,Total ratings,longitude,latitude
1343,Tadka,Kanpur,"Rave Moti, Kakadeo","117/K/13, Rave Moti, Gutaiya, Kanpur",North Indian,500.0,3.8,97,80.299775,26.48154722
1344,Dhuaan,Kanpur,"Status Club, Kanpur Cantonment","Plot 58, Status Club, Cantonment Area, Tagore Road, Kanpur","North Indian, Mexican, Italian",750.0,4.3,155,80.372929,26.463504
1345,Upper Crust,Kanpur,Swaroop Nagar,"112/368-F, Swaroop Nagar, Kanpur","Bakery, Fast Food",175.0,3.4,49,80.32093889,26.48241944
1346,Anaicha's Food Joint,Kanpur,Swaroop Nagar,"113/187, Swaroop Nagar, Kanpur","Chinese, North Indian, Continental",425.0,3.6,106,80.31562778,26.48258056
1347,Aromas,Kanpur,Swaroop Nagar,"7/135, Opposite Indian Overses Bank, Swaroop Nagar, Kanpur",Fast Food,175.0,4.1,171,80.31783333,26.48304167
1348,Waterside - The Landmark Hotel,Kanpur,"The Landmark Hotel, Mall Road","The Landmark Hotel, Landmark Towers, 10, Near Naveen Market, Mall Road, Kanpur","North Indian, Chinese",1500.0,3.9,113,80.3481,26.47413333
1349,Verandah,Kanpur,Tilak Nagar,"Third Floor, 7/17, Parvati Bagla Road, Tilak Nagar, Kanpur","Chinese, Italian, Fast Food",750.0,3.7,160,80.31865556,26.49095
1350,Barbeque Nation,Kanpur,"Z Square Mall, Mall Road","16/113, 3rd Floor, Z Square Mall, MG Marg, Mall Road, Kanpur","North Indian, Mughlai, Lebanese, Arabian, Mediterranean",700.0,4.0,41,80.35,26.47
1351,Nawras Seafood Restaurant,Kochi,Chittoor Road,"Near Pullepadi Bus stop, Chittoor Road, Kochi",Seafood,500.0,4.6,289,76.28500095,9.979362921
1352,Ifthar,Kochi,Edappally,"KK Building, Opposite Pittappillil, Edappally, Kochi",Kerala,175.0,3.8,281,76.31001944,10.02804722
1353,Dhe Puttu,Kochi,Edappally,"NH 47, Edapally Bypass, Edappally, Kochi",Kerala,300.0,4.4,662,76.31063056,10.02068333
1354,Kashi Art Cafe,Kochi,Fort Kochi,"Burgher Street, Fort Kochi, Kochi","European, Cafe",300.0,4.2,659,76.24298056,9.966783333
1355,Grand Hotel Restaurant,Kochi,"Grand Hotel, MG Road","Grand Hotel, MG Road, Kochi","North Indian, Kerala, Chinese, Continental",500.0,4.2,394,76.28544722,9.970716667
1356,Barbeque Nation,Kochi,Kacheripady,"6th Floor, Imperial Trade Centre, Mahatma Gandhi Road, Kacheripady, Kochi","European, North Indian, Mediterranean, American",750.0,4.5,213,76.28326792,9.982833886
1357,Chiyang,Kochi,Kacheripady,"Mariyambika Building, Madhava Pharmacy Junction, Kacheripady, Kochi","Chinese, Continental",400.0,3.7,277,76.28112778,9.985697222
1358,Slice of Spice,Kochi,Kacheripady,"Market Road, Opposite Saritha Savitha Theatre, Kacheripady, Kochi","Fast Food, Biryani",200.0,4.0,246,76.27699893,9.985496938
1359,Mustake Multicuisine Restaurant,Kochi,Kakkanad,"Near SEZ, Noel Focuz, Seaport-Airport Road, Kakkanad, Kochi","Chinese, Thai, North Indian, South Indian",500.0,3.7,145,76.34951615,10.00070594
1360,Palaaram,Kochi,Kakkanad,"Vallathol Junction, Thrikkakara, Kakkanad, Kochi","Kerala, Fast Food",275.0,3.7,105,76.33695804,10.03557278
1361,Tonico Cafe,Kochi,Kakkanad,"Opposite CSEZ, Seaport Airport Road, Kakkanad, Kochi",Cafe,200.0,4.0,406,76.34539722,10.00688056
1362,Cafe 17,Kochi,Kaloor,"Ground Floor, Unisquare Building, Opposite Sreedhareeyam Eye Hospital, Kathrikadavu, Kaloor, Kochi","Cafe, Continental, Italian",350.0,4.4,333,76.29521111,9.988483333
1363,ChaiCofi,Kochi,Kaloor,"Arammal Tower, Near Express Garden, KK Road, Kaloor, Kochi","Cafe, Continental, Italian",400.0,4.0,160,76.29313611,9.991702778
1364,Bloomsbury's Boutique Cafe and Artisan Bakery,Kochi,"LuLu Mall, Edappally","S 74, Level 2, LuLu Mall, NH-17, Entrance Road, Edapally Junction, Edappally, Kochi","Cafe, Bakery, Desserts",325.0,4.2,482,76.30805278,10.02701389
1365,Paragon,Kochi,"LuLu Mall, Edappally","F 82-83, Level 1, LuLu Mall, NH-17, Entrance Road, Edapally Junction, Edappally, Kochi","Kerala, South Indian, Continental, North Indian, Seafood, Chinese",450.0,4.3,722,76.30825833,10.02736389
1366,Aangan - Downtown Multicuisine Restaurant,Kochi,Palarivattom,"32/1180C, Civil Lane Road, Palarivattom, Kochi","Chinese, Seafood, North Indian, Biryani",325.0,4.2,146,76.30758885,10.00306395
1367,Ali Baba & 41 Dishes,Kochi,Panampilly Nagar,"Main Avenue, Opposite South Indian Bank, Panampilly Nagar, Kochi","Kerala, South Indian, Chinese, Biryani",200.0,3.5,348,76.29610556,9.959777778
1368,Cocoa Tree,Kochi,Panampilly Nagar,"1st Floor, Above ICICI Bank, Next to Avenue Centre, Panampilly Nagar, Kochi","Italian, Seafood, Mediterranean, Desserts, Cafe",500.0,4.3,658,76.29678333,9.957144444
1369,French Toast,Kochi,Panampilly Nagar,"8th Cross Street B, Ambikapuram Road, Panampilly Nagar, Panampilly Nagar, Kochi","Continental, Cafe, Desserts, Bakery",350.0,4.3,312,76.29393613,9.960845813
1370,Thakkaaram,Kochi,Vyttila,"Opposite Gold Souk Grande Mall, Vyttila, Kochi","Kerala, South Indian",300.0,3.6,361,76.31736111,9.979186111
1371,Asia Kitchen by Mainland China,Kolkata,"Acropolis Mall, Kasba ","4th Floor, Acropolis Mall, 1858/1, Rajdanga Main Road, Kasba, Kolkata","Asian, Chinese",700.0,4.6,945,88.39329377,22.51468755
1372,Hoppipola,Kolkata,"Acropolis Mall, Kasba ","4th Floor, Acropolis Mall, 1858/1, Rajdanga Main Road, Kasba, Kolkata","Italian, Mexican, American, Mediterranean",600.0,4.2,1103,88.3933102,22.51458534
1373,Spice Kraft,Kolkata,Ballygunge,"54/1/2A, Hazra Road, Ballygunge Phari, Near Hazra Law College, Ballygunge, Kolkata","Continental, Middle Eastern, Asian",600.0,4.8,1424,88.3644527,22.5264613
1374,Nawwarah,Kolkata,Ballygunge,"48A, Syed Amir Ali Avenue, Ballygunge, Kolkata","Chinese, Cafe, North Indian, Desserts",500.0,3.9,326,88.364878,22.538731
